"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"69",-0.0144107243162281,-0.019776751674776,-0.0238110045668272,-0.0340185371736044,-0.045439120500665,-0.0580259942034078,-0.0684752146334349,-0.078903522375501,-0.0821619152193018,-0.0855459208499418,-0.0960699219234233,-0.00385672453997765,-0.115723744664437,-0.113612575125351,-0.12425753475747
"70",-0.0152360652133474,-0.0209777700202145,-0.0249356424923697,-0.0331937238283038,-0.041922533016836,-0.0532870224361846,-0.0649173609956861,-0.0785606319297272,-0.0880396782504378,-0.0895338200046076,-0.090742025222236,-0.00134467243832059,-0.114089937641549,-0.113201181051408,-0.121216483979593
"71",-0.0159271708657354,-0.0218673798965563,-0.0262486455736122,-0.0344475555176098,-0.041239960332645,-0.0499770017082426,-0.0603618277697535,-0.0751766711051443,-0.0879038766227334,-0.0954823474291002,-0.0948339335792374,0.00467449954985621,-0.107764134398417,-0.116998348730522,-0.121104333386197
"72",-0.0163980785125819,-0.0225677064157965,-0.0272117740755142,-0.0358236261066063,-0.042510960644262,-0.0493618982019366,-0.0571125557305932,-0.0706990600765396,-0.0847041447999661,-0.0954700164701459,-0.10079795185961,0.00108888687434927,-0.0983280125066095,-0.115943868003555,-0.125014061000763
"73",-0.0165281245528708,-0.0229534682362846,-0.0278872538651109,-0.0367335379710716,-0.0437531007593255,-0.0505063063586566,-0.0563196384017286,-0.0672687387177988,-0.0801686500266681,-0.0921804352790025,-0.100637703819063,-0.00359920210633025,-0.097015568282155,-0.111089119741236,-0.123844200693575
"74",-0.0162832890848104,-0.0229370989163136,-0.0281862256132097,-0.037290966175493,-0.0444530046699998,-0.0515393103361399,-0.0571707456478059,-0.0661554078182216,-0.0765326041302861,-0.0874416500498545,-0.0970908910193651,-0.00109134938641153,-0.0961327248578017,-0.114655746730741,-0.118772096463672
"75",-0.0157042746034612,-0.0225393241322815,-0.0280887424498943,-0.0374678968024038,-0.0448007441214644,-0.0520399440101724,-0.0579219632716148,-0.0666890971021967,-0.0751843113320123,-0.0835969493369264,-0.0921072410913859,0.00503682954592843,-0.0891908924147939,-0.119682875010791,-0.121991451027538
"76",-0.0146539483204364,-0.021750211909775,-0.0275353035508736,-0.0371665368931064,-0.0446839252442066,-0.0520792318334831,-0.0580237078632959,-0.0670027569331442,-0.0753315258241454,-0.0818829480547469,-0.0878643213492234,0.0124651009890027,-0.0797868065808935,-0.118485731214436,-0.126411131425198
"77",-0.013276575364161,-0.020487123203536,-0.0265820652399689,-0.0364167136753926,-0.0441045751543063,-0.0516712838223352,-0.0576981118762503,-0.0667103915913581,-0.0753092392564492,-0.0816885323421537,-0.0858015757999677,0.0182817557272865,-0.0706522079980383,-0.113913378392668,-0.124756473395558
"78",-0.0119997684119699,-0.0189320480803268,-0.0251913607411587,-0.0353085618927205,-0.0431256055726195,-0.0508345072404928,-0.0569589957001306,-0.0660244232776641,-0.0747351274792996,-0.081360129327444,-0.0852830296865328,0.0215826016766445,-0.0626600406006679,-0.108011574345452,-0.119879532990772
"79",-0.0109944106223638,-0.0175300420324671,-0.0235784558757177,-0.0338602693535721,-0.0418944146787639,-0.0497024023088621,-0.0559146916728395,-0.0650599309121684,-0.0739142693348556,-0.0806202497528541,-0.084771010095444,0.0231818408074709,-0.0569238879977454,-0.103257059453465,-0.113983218311527
"80",-0.0102059198574778,-0.0164312445343491,-0.0221872216477275,-0.0322981481579796,-0.0404535072603291,-0.0484644441606936,-0.0547454299990182,-0.0639787700768131,-0.0730212403655575,-0.0798574258896889,-0.0840907352593612,0.0240281460664886,-0.0544984568517068,-0.101109539748048,-0.109561345017311
"81",-0.00947918252734192,-0.0155061788212221,-0.021080952718842,-0.030939757065259,-0.0389085648685947,-0.0470378946678696,-0.0534866638349158,-0.0627922723479726,-0.0720400247948927,-0.0790515491947459,-0.0834108111295051,0.0242383971155906,-0.054653820373411,-0.100805376316421,-0.107690790175424
"82",-0.00870205730088758,-0.0146444088924809,-0.0201965112878773,-0.0299039581928597,-0.0376221609712069,-0.04558878419674,-0.0521311992563476,-0.0616340625333409,-0.0710916774745329,-0.0783056990537645,-0.082846621468792,0.0234187122356517,-0.0575616905174066,-0.100949754913294,-0.107820281584191
